Subject,Grupo,TimeNearMirror,DisplayFrequency,DisplayDuration
A1,CTRL,32.111,2,0.384
A10,CTRL,9.86,5,0.523
A2,CTRL,159.695,7,0.671
A3,CTRL,31.568,3,0.406
A4,CTRL,202.05,1,0.134
A5,CTRL,210.285,0,0
A6,CTRL,24.706,2,0.257
A7,CTRL,4.003,0,0
A8,CTRL,78.083,15,2.151
A9,CTRL,141.73,0,0
B1,MK-212,65.994,12,1.592
B10,MK-212,33.013,11,1.37
B2,MK-212,12.277,1,0.155
B3,MK-212,9.359,0,0
B4,MK-212,95.743,39,4.919
B5,MK-212,74.11,22,2.647
B6,MK-212,33.992,4,0.47
B7,MK-212,258.549,0,0
B8,MK-212,7.666,0,0
B9,MK-212,23.547,3,0.387
C1,RS-102221,2.229,1,0.129
C10,RS-102221,118.259,36,4.668
C2,RS-102221,2.152,1,0.124
C3,RS-102221,18.558,7,1.081
C4,RS-102221,0,0,0
C5,RS-102221,15.327,2,0.292
C6,RS-102221,73.055,27,3.731
C7,RS-102221,62.619,13,1.766
C8,RS-102221,48.758,2,0.384
C9,RS-102221,0,0,0
