Status,Drug,Sex,TimeBottom,ErraticSwimming,Freezing,Speed
Control,Cortland,Female,275.066761479052,25.6268950603702,10.9081565274329,8.184973254318
Control,Cortland,Female,251.746731014019,16.5075494614588,4.23640780800074,10.2331295292077
Control,Cortland,Female,266.923362609718,23.3348937510883,3.758509470604,7.45138591761248
Control,Cortland,Female,279.16034505493,21.6161378236328,7.50036651192125,8.33753943815796
Control,Cortland,Male,268.047140987119,27.365154161688,2.34075164915721,3.92038690185976
Control,Cortland,Male,280.753347267989,16.320166976172,2.97169925038011,8.27564803035361
Control,Cortland,Male,247.20103855339,23.1227343648796,7.38188693780727,8.82422776037153
Control,Cortland,Female,290.514392676522,18.5912898144943,1.92715900526909,3.69316490265515
Control,Cortland,Female,294.503578704362,22.3340922870484,7.42241448356098,1.16395536460161
Control,Cortland,Male,288.608219406358,15.5065044465945,1.37408566368123,2.02356641969962
Control,Cortland,Male,276.465891113729,35.223515692117,8.4444670995874,6.58192840132456
Control,Cortland,Female,297.291798479592,20.117517066885,1.2157087841394,9.12614211264686
Dominant,Cortland,Male,286.581820485681,19.6167230853614,3.86634431281357,10.5738713841068
Dominant,Cortland,Female,255.123492627498,18.9212251582053,0.788455894059944,1.56616022777164
Dominant,Cortland,Male,220.143396887595,23.7674672185543,0.683447551628013,6.73605673581012
Dominant,Cortland,Male,297.922862909378,22.8669465747595,1.09015467009882,7.7401441867164
Dominant,Cortland,Female,287.793927937063,15.4855797597977,2.88003098218787,10.4194747199439
Dominant,Cortland,Male,250.35628711276,35.8295573276647,2.04930053473362,9.69849021406187
Dominant,Cortland,Male,272.797375744765,24.0741991956385,0.795279813053348,10.0131367767691
Dominant,Cortland,Male,239.67986802868,33.1614955149724,3.82645486398745,9.19904844381831
Dominant,Cortland,Female,262.916508879407,33.2038997966494,10.5449959571614,6.10485894568298
Dominant,Cortland,Male,300.577053841004,28.7898841397289,10.3168619511643,1.98131869682065
Dominant,Cortland,Female,250.948581292524,20.2200483465983,0.538553280451107,8.97843728190457
Dominant,Cortland,Female,254.104416654128,21.0368847878982,5.61535408238998,3.30605897936629
Dominant,Cortland,Male,272.806877331294,21.1272424571792,4.5429391382913,7.42905986640301
Subordinate,Cortland,Male,320.607227153454,31.8445452054326,0,9.55530429760447
Subordinate,Cortland,Female,341.194237430023,22.6222426911211,19.2947214409143,7.83588678891207
Subordinate,Cortland,Female,316.011962194734,35.3068060996385,27.8879919535702,5.33314181857765
Subordinate,Cortland,Male,322.933088980124,25.1474223320681,21.9793697628982,8.27758436645459
Subordinate,Cortland,Male,349.259106282964,31.1693103430472,19.1720464303141,9.94893227535557
Subordinate,Cortland,Male,337.1946744733,23.5240394830596,36.4907820372017,8.0387117146179
Subordinate,Cortland,Male,350.144454418244,32.394040739357,28.0108827239718,5.75733125454181
Subordinate,Cortland,Male,338.065536953252,38.2675465805616,9.9345842314992,1.34000506452646
Subordinate,Cortland,Female,328.172818278881,29.6952989933679,37.1210158689702,9.50163759808074
Subordinate,Cortland,Male,311.655881447835,35.3437000278223,0.498972053066675,8.98506046463683
Subordinate,Cortland,Female,348.748363816375,22.6820432743744,34.2250999091099,1.17470868639779
Subordinate,Cortland,Female,332.518733133455,31.8799759881398,8.90570070796942,9.98094106565471
Control,MK212,Male,305.883197211592,32.4836199208403,19.035550104346,7.7746559417156
Control,MK212,Male,330.203926339157,32.6390125764264,8.80766488880211,9.94773988938676
Control,MK212,Female,346.968278987355,29.3455019329374,28.8342218103384,8.99023909614957
Control,MK212,Female,324.169353817148,32.6343439014614,39.2211074296816,7.05711391963258
Control,MK212,Male,302.514090090015,35.9978118937023,9.0294102885899,6.83183015427065
Control,MK212,Male,308.745713481725,26.5808886057481,4.83428588922885,2.13283980991404
Control,MK212,Male,357.367889804053,20.8347611550118,28.1521670297249,7.59778881393678
Control,MK212,Female,349.791835411829,21.2974331132219,6.64117782701757,2.30725017490059
Control,MK212,Female,340.150721162741,24.6067157762975,23.1138468070108,4.64545321843224
Control,MK212,Female,323.532889040894,37.5702459458228,35.0829983148604,4.1007189301924
Control,MK212,Female,333.804035903533,40.7705825810161,23.5283596361151,2.84075358254619
Control,MK212,Female,355.253913328679,37.0830502095602,10.7500012073597,8.85912589806902
Dominant,MK212,Female,317.113173208874,33.0761325566073,31.2230013173418,4.87292781354286
Dominant,MK212,Female,300.408730476205,28.3583657956801,32.572694160532,5.74532660103026
Dominant,MK212,Male,329.267807596637,33.0452960720752,13.3429716723987,9.58159521346915
Dominant,MK212,Male,319.961883877346,32.1494638032656,40.5768767957454,5.60466971362475
Dominant,MK212,Male,319.79199434928,37.9486498141821,36.9770853411543,4.44077146965607
Dominant,MK212,Male,308.614761060817,39.0265777401017,5.56092722072296,9.63252826880247
Dominant,MK212,Male,330.250498737152,29.0116005066621,19.593471760262,8.49655177328834
Dominant,MK212,Male,317.230092855488,40.4744996558236,16.3627360317221,8.91249393635788
Dominant,MK212,Female,313.259309299672,20.9046105999077,25.9302340349637,5.96576449963448
Dominant,MK212,Male,309.05393602626,32.0799056309815,9.21000587231393,10.1547479396203
Dominant,MK212,Male,312.073324012452,32.7185354458081,17.659933450838,2.16382662292346
Dominant,MK212,Female,306.638324136224,25.2746469997406,27.4181312091151,7.94228368092651
Dominant,MK212,Female,316.376188703272,33.923791550646,2.18650355018341,1.6701684073535
Subordinate,MK212,Male,345.227083520983,58.1194572778874,14.9898390824223,3.94313959365717
Subordinate,MK212,Male,340.076553321642,45.450369954526,51.8528669840026,9.15599183405159
Subordinate,MK212,Male,353.064098530631,38.0396755699288,42.753112437927,5.34258211919331
Subordinate,MK212,Female,360,39.5209833949247,7.20689238973239,5.45320301375415
Subordinate,MK212,Female,360,56.4345107027674,19.4365304978439,3.36925617276139
Subordinate,MK212,Male,351.033511336086,35.1818076510974,29.130546175017,4.89696344976999
Subordinate,MK212,Female,360,45.1453668159043,60.3475198470752,4.55336334575851
Subordinate,MK212,Male,358.172528409003,57.2838253659805,59.9014304002836,1.6686942630616
Subordinate,MK212,Male,348.584261757696,48.2282586992003,21.6003815564283,2.23414859994351
Subordinate,MK212,Female,360,42.970898927889,18.0148847739401,5.78033338592164
Subordinate,MK212,Male,351.867268326877,46.9092964298526,12.6593523504059,2.49171244582404
Subordinate,MK212,Female,360,48.5758341089603,35.0902650850431,8.13237770365427
Control,DMSO,Female,251.917862392856,31.8522044321483,7.53869702663007,8.11309975087006
Control,DMSO,Male,253.585677114529,22.1672412970766,6.31031640171393,6.94752924340545
Control,DMSO,Female,263.20949579036,30.0643502653117,9.31343950141427,7.26760200321329
Control,DMSO,Male,223.956762621077,17.5062617894354,5.25946739661614,7.11522871350494
Control,DMSO,Female,253.513305341798,23.9209690588695,3.44883239339131,10.1150548121259
Control,DMSO,Female,256.909895640285,20.2738845493551,8.17760193461409,8.88951710606979
Control,DMSO,Female,258.129235338839,21.4011451139674,3.81487492960856,9.58387712705536
Control,DMSO,Female,260.302075076862,26.7692497389428,5.58094797686235,10.4070696159293
Control,DMSO,Female,260.768219352129,27.1390628103689,0.196215177577208,6.89297144615601
Control,DMSO,Male,281.19750072737,28.3425196432196,7.0548040715543,6.99217645852851
Control,DMSO,Male,264.765809986501,27.1510049794307,3.0684018190895,10.6696234218752
Control,DMSO,Male,233.441396130768,26.6950497046993,1.4805047890772,3.37054679463473
Dominant,DMSO,Male,212.539757648714,31.8858575682642,8.89622241173553,9.40444076667191
Dominant,DMSO,Male,262.455112623624,22.7479155517208,0.146876278220983,10.2230805551893
Dominant,DMSO,Female,261.066724442445,24.8266454489491,0,6.38944409630813
Dominant,DMSO,Male,284.366849941043,35.0213644506309,4.76042185475144,4.86502060421464
Dominant,DMSO,Female,262.155524252894,28.4689197788242,10.9704269595241,8.81145600645211
Dominant,DMSO,Female,266.36506768446,22.7713307946723,0.285779058752828,10.716027681948
Dominant,DMSO,Male,203.073784489752,34.1502983641913,10.7030146182337,5.36988448194446
Dominant,DMSO,Male,257.015249408522,35.5345771462118,0.523941538628445,2.65559786687359
Dominant,DMSO,Male,263.758155675567,17.1920761805549,4.65866824378645,5.52938519522082
Dominant,DMSO,Female,268.849083403463,17.4192062561893,0.0399427818514666,7.23547213659431
Dominant,DMSO,Male,228.06226599821,17.1743619394068,1.88683782063037,1.6263481373065
Dominant,DMSO,Female,269.369882245226,35.3369810559531,8.89113254197223,7.53057322607075
Dominant,DMSO,Female,270.289200070479,26.9506466180295,6.38552753810998,10.3603687982096
Subordinate,DMSO,Male,319249,27.9851459793835,5.31717096464745,3.27376900609831
Subordinate,DMSO,Male,311262,26.0704519549353,15.5573721163588,2.59171517542854
Subordinate,DMSO,Male,309942,22.3670172751545,23.2959255406681,8.21790624686815
Subordinate,DMSO,Female,297388,40.6065502248362,16.3889202574586,3.54794522582831
Subordinate,DMSO,Male,281121,37.7264366833815,23.2020698442186,7.76543995514381
Subordinate,DMSO,Female,295499,29.8243860903561,25.0918810460779,6.74007455651077
Subordinate,DMSO,Female,290115,30.051502016335,10.1168501359818,8.75336635551736
Subordinate,DMSO,Male,286228,32.3787999107939,21.5106634971051,3.10662453375545
Subordinate,DMSO,Male,295068,38.5956933556047,0,6.61573868902428
Subordinate,DMSO,Male,284107,38.1614901386507,30.4156285347256,9.8420971687739
Subordinate,DMSO,Female,274752,30.5901751933169,29.7022399219354,4.02183695347241
Subordinate,DMSO,Female,308561,32.6079841767648,5.25129834701537,4.44960041909173
Control,RS102221,Male,193.043825444349,13.5390560069701,3.28893854779879,7.37683152310504
Control,RS102221,Male,236.151825507233,11.7139846764065,2.76583640033121,2.28172762416734
Control,RS102221,Male,194.402116384437,27.399775520982,2.37616624210829,10.6412842623549
Control,RS102221,Male,196.908973453111,20.8229550916141,2.14474303926765,10.2393935221347
Control,RS102221,Male,223.110939902031,16.036735759116,0,9.33899855522399
Control,RS102221,Female,193.14954912038,28.4330044134221,4.28935241958864,6.63386023764964
Control,RS102221,Female,208.855725018508,13.4757253752579,4.65177421723761,3.47890018834897
Control,RS102221,Male,248.991161022849,17.1916686183859,0,1.19874250334507
Control,RS102221,Female,197.212882944344,11.5669430681948,0,5.99142532715903
Control,RS102221,Male,217.513960519322,11.8999702441178,0.63077600365386,7.7647940208214
Control,RS102221,Male,194.575435352562,26.3369487847359,1.76600467918514,10.8057116648317
Control,RS102221,Male,238.98850437363,27.9287344503897,0.606319429975356,9.62303061493016
Dominant,RS102221,Female,218.539527858184,23.2311767808328,1.12302057102611,8.37709383694457
Dominant,RS102221,Female,249.82487944877,14.7464855201852,3.45940376145053,7.26959700997482
Dominant,RS102221,Female,249.122729448223,16.7645047042174,4.17127045476645,3.48994270737796
Dominant,RS102221,Male,245.31184964628,19.0520530696367,2.8388011695708,6.71532182189619
Dominant,RS102221,Male,226.337194421375,14.0330661541922,3.37458048647793,2.50991439250472
Dominant,RS102221,Female,195.564822843127,17.0174061195601,0,3.60705342397583
Dominant,RS102221,Male,190.452593839974,16.8095631505519,0.826867615455148,3.2428848334655
Dominant,RS102221,Male,244.984973868756,20.213504764368,0.881641740389328,4.54184693137327
Dominant,RS102221,Female,240.757495637931,28.3547367076833,2.5518729655512,8.74635793802053
Dominant,RS102221,Female,206.057232477937,26.8813836468867,5.17472703541282,10.5545631507604
Dominant,RS102221,Female,199.417476213109,23.6167638998719,0.107891871174895,10.0591275939663
Dominant,RS102221,Female,237.457205105179,23.7584074700993,0.886987819018978,3.20776007888376
Dominant,RS102221,Female,245.289525313522,23.5073884555422,5.47668527769381,4.80506969185733
Subordinate,RS102221,Male,348.715704564557,29.8058873935868,8.02179285404418,1.76227160135922
Subordinate,RS102221,Female,360,40.7648308850531,7.73094210446337,7.5373515735632
Subordinate,RS102221,Male,325.679088212991,40.4783185893053,13.9908543501028,8.98855054761432
Subordinate,RS102221,Female,360,44.2127107091045,13.1550184768415,5.95356674598905
Subordinate,RS102221,Male,341.912075277346,34.0482043822735,23.3550524527493,8.69963469233422
Subordinate,RS102221,Male,341.068756796161,41.2404382283461,4.36815209676095,6.89104992573068
Subordinate,RS102221,Female,360,33.4375361336055,19.1017465265867,4.52814859666928
Subordinate,RS102221,Female,360,34.6800451176266,10.4355387159284,10.5875050961197
Subordinate,RS102221,Male,334.26100318887,29.1392497204481,30.2411325128773,2.27737507490777
Subordinate,RS102221,Female,360,32.8592809809043,18.9335102923563,7.53489458849962
Subordinate,RS102221,Female,351.882031347273,34.6398433227213,2.85399845156528,3.58529499845528
Subordinate,RS102221,Male,339.027896666839,33.6350854606409,18.8943179061598,6.88718250892646
