Subject,Group,TimeTop,TimeBottom,TimeNearNovelConspecific,TimeNearKnownConspecific,Speed,AbsoluteTurnAngle,Freezing
A1,CTRL,89,175,224,125,7,23,1
A2,CTRL,121,117,149,95,7,28,2
A3,CTRL,151,191,143,193,9,20,4
A4,CTRL,103,223,205,109,6,21,5
A5,CTRL,193,133,231,78,9,27,0
A6,CTRL,13,352,197,162,7,24,2
A7,CTRL,183,137,250,81,8,24,1
A8,CTRL,197,114,258,155,10,26,6
A9,CTRL,134,118,202,42,8,34,0
A10,CTRL,245,43,193,112,8,26,1
B1,MK-212,133,272,216,202,7,23,3
B2,MK-212,225,117,265,183,7,21,4
B3,MK-212,116,230,218,122,8,20,3
B4,MK-212,161,144,249,189,6,25,1
B5,MK-212,280,77,264,187,5,19,1
B6,MK-212,142,173,132,183,7,22,2
B7,MK-212,152,148,244,281,5,32,0
B8,MK-212,128,195,167,141,8,25,0
B9,MK-212,287,46,213,199,7,24,5
B10,MK-212,197,110,285,241,6,27,1
C1,RS-102221,69,249,103,104,7,23,3
C2,RS-102221,22,327,254,67,5,20,4
C3,RS-102221,66,269,180,141,5,22,0
C4,RS-102221,232,210,56,322,9,22,0
C5,RS-102221,87,252,160,171,7,22,1
C6,RS-102221,49,296,133,23,6,22,3
C7,RS-102221,30,291,107,23,7,25,0
C8,RS-102221,136,160,155,143,7,29,2
C10,RS-102221,130,146,199,97,8,30,0
